Target Table,Target Column,Proposed Target Type,Source System,Source Table,Source Column(s),Source Type(s),Transformation / Mapping Rule,Join / Lookup,Null Handling,Notes
DimCustomer,CustomerID,TEXT,Chinook,Customer,Customer.CustomerId,INTEGER,Prefix with CHINOOK: after casting Customer.CustomerId to TEXT.,Customer is the source row.,Preserve source NULL.,Canonical source-prefixed identifiers prevent cross-source collisions.
DimCustomer,CustomerID,TEXT,Northwind,Customers,Customers.CustomerID,TEXT,Prefix with NORTHWIND: before Customers.CustomerID.,Customers is the source row.,Preserve source NULL.,Canonical source-prefixed identifiers prevent cross-source collisions.
DimCustomer,CustomerName,TEXT,Chinook,Customer,"Customer.FirstName, Customer.LastName","NVARCHAR(40), NVARCHAR(20)",TRIM(Customer.FirstName || ' ' || Customer.LastName).,Customer is the source row.,FirstName and LastName are required; trim whitespace.,
DimCustomer,CustomerName,TEXT,Northwind,Customers,Customers.ContactName,TEXT,Direct mapping.,Customers is the source row.,Preserve source NULL.,
DimCustomer,CompanyName,TEXT,Chinook,Customer,Customer.Company,NVARCHAR(80),Direct mapping.,Customer is the source row.,Preserve source NULL.,
DimCustomer,CompanyName,TEXT,Northwind,Customers,Customers.CompanyName,TEXT,Direct mapping.,Customers is the source row.,Preserve source NULL.,
DimCustomer,City,TEXT,Chinook,Customer,Customer.City,NVARCHAR(40),Direct mapping.,Customer is the source row.,Preserve source NULL.,
DimCustomer,City,TEXT,Northwind,Customers,Customers.City,TEXT,Direct mapping.,Customers is the source row.,Preserve source NULL.,
DimCustomer,State,TEXT,Chinook,Customer,Customer.State,NVARCHAR(40),Direct mapping.,Customer is the source row.,Preserve source NULL.,Source fields have different names but the same unified attribute role.
DimCustomer,State,TEXT,Northwind,Customers,Customers.Region,TEXT,Standardize Customers.Region to State.,Customers is the source row.,Preserve source NULL.,Source fields have different names but the same unified attribute role.
DimCustomer,Country,TEXT,Chinook,Customer,Customer.Country,NVARCHAR(40),Direct mapping.,Customer is the source row.,Preserve source NULL.,
DimCustomer,Country,TEXT,Northwind,Customers,Customers.Country,TEXT,Direct mapping.,Customers is the source row.,Preserve source NULL.,
DimCustomer,PostalCode,TEXT,Chinook,Customer,Customer.PostalCode,NVARCHAR(10),Direct mapping.,Customer is the source row.,Preserve source NULL.,
DimCustomer,PostalCode,TEXT,Northwind,Customers,Customers.PostalCode,TEXT,Direct mapping.,Customers is the source row.,Preserve source NULL.,
DimCustomer,Phone,TEXT,Chinook,Customer,Customer.Phone,NVARCHAR(24),Direct mapping.,Customer is the source row.,Preserve source NULL.,
DimCustomer,Phone,TEXT,Northwind,Customers,Customers.Phone,TEXT,Direct mapping.,Customers is the source row.,Preserve source NULL.,
DimCustomer,Email,TEXT,Chinook,Customer,Customer.Email,NVARCHAR(60),Direct mapping.,Customer is the source row.,Customer.Email is required in the source.,
DimCustomer,Email,TEXT,Northwind,Customers,NULL,N/A (no source column),Map NULL; Customers has no Email column.,No lookup.,Use NULL.,Do not fabricate an email address.
DimEmployee,EmployeeID,TEXT,Chinook,Employee,Employee.EmployeeId,INTEGER,Prefix with CHINOOK: after casting Employee.EmployeeId to TEXT.,Employee is the source row.,Preserve source NULL where applicable.,Canonical source-prefixed identifier.
DimEmployee,EmployeeName,TEXT,Chinook,Employee,"Employee.FirstName, Employee.LastName","NVARCHAR(20), NVARCHAR(20)",TRIM(Employee.FirstName || ' ' || Employee.LastName).,Employee is the source row.,Preserve source NULL components; trim whitespace.,
DimEmployee,Title,TEXT,Chinook,Employee,Employee.Title,NVARCHAR(30),Direct mapping.,Employee is the source row.,Preserve source NULL.,
DimEmployee,City,TEXT,Chinook,Employee,Employee.City,NVARCHAR(40),Direct mapping.,Employee is the source row.,Preserve source NULL.,
DimEmployee,Country,TEXT,Chinook,Employee,Employee.Country,NVARCHAR(40),Direct mapping.,Employee is the source row.,Preserve source NULL.,
DimEmployee,ReportsTo,TEXT,Chinook,Employee,Employee.ReportsTo,INTEGER,"If Employee.ReportsTo is not NULL, prefix with CHINOOK: after casting to TEXT; otherwise NULL.",Self-reference: Employee.ReportsTo -> Employee.EmployeeId.,Use NULL when no manager is recorded.,Preserves the manager reference inside its source namespace.
